AIB parody party music video.
Heart sensor crapped out. 
Walked before.




H: nan T: 1454385214.0
B: 28 T: 1454385214.0
H: nan T: 1454385215.0
B: 28 T: 1454385215.0
H: nan T: 1454385216.0
B: 28 T: 1454385216.0
H: nan T: 1454385217.0
B: 28 T: 1454385217.0
H: nan T: 1454385218.0
B: 28 T: 1454385218.0
H: nan T: 1454385219.0
B: 28 T: 1454385219.0
H: nan T: 1454385220.0
B: 28 T: 1454385220.0
H: nan T: 1454385221.0
B: 28 T: 1454385221.0
H: nan T: 1454385222.0
B: 28 T: 1454385222.0
H: nan T: 1454385223.0
B: 28 T: 1454385223.0
H: nan T: 1454385224.0
B: 28 T: 1454385224.0
H: nan T: 1454385225.0
B: 28 T: 1454385225.0
H: nan T: 1454385226.0
B: 28 T: 1454385226.0
H: nan T: 1454385227.0
B: 28 T: 1454385227.0
H: nan T: 1454385228.0
B: 28 T: 1454385228.0
H: nan T: 1454385229.0
B: 28 T: 1454385229.0
H: nan T: 1454385230.0
B: 28 T: 1454385230.0
H: nan T: 1454385231.0
B: 29 T: 1454385231.0
H: nan T: 1454385232.0
B: 27 T: 1454385232.0
H: nan T: 1454385233.0
B: 27 T: 1454385233.0
H: nan T: 1454385234.0
B: 26 T: 1454385234.0
H: nan T: 1454385235.0
B: 26 T: 1454385235.0
H: nan T: 1454385236.0
B: 26 T: 1454385236.0
H: nan T: 1454385237.0
B: 27 T: 1454385237.0
H: nan T: 1454385238.0
B: 27 T: 1454385238.0
H: nan T: 1454385239.0
B: 25 T: 1454385239.0
H: nan T: 1454385240.0
B: 25 T: 1454385240.0
H: nan T: 1454385241.0
B: 25 T: 1454385241.0
H: nan T: 1454385242.0
B: 25 T: 1454385242.0
H: nan T: 1454385243.0
B: 25 T: 1454385243.0
H: nan T: 1454385244.0
B: 26 T: 1454385244.0
H: nan T: 1454385245.0
B: 26 T: 1454385245.0
H: nan T: 1454385246.0
B: 25 T: 1454385246.0
H: nan T: 1454385247.0
B: 25 T: 1454385247.0
H: nan T: 1454385248.0
B: 25 T: 1454385248.0
H: nan T: 1454385249.0
B: 25 T: 1454385249.0
H: nan T: 1454385250.0
B: 25 T: 1454385250.0
H: nan T: 1454385251.0
B: 25 T: 1454385251.0
H: nan T: 1454385252.0
B: 25 T: 1454385252.0
H: nan T: 1454385253.0
B: 25 T: 1454385253.0
H: nan T: 1454385254.0
B: 25 T: 1454385254.0
H: nan T: 1454385255.0
B: 25 T: 1454385255.0
H: nan T: 1454385256.0
B: 26 T: 1454385256.0
H: nan T: 1454385257.0
B: 26 T: 1454385257.0
H: nan T: 1454385258.0
B: 26 T: 1454385258.0
H: nan T: 1454385259.0
B: 26 T: 1454385259.0
H: nan T: 1454385260.0
B: 26 T: 1454385260.0
H: nan T: 1454385261.0
B: 26 T: 1454385261.0
H: nan T: 1454385262.0
B: 27 T: 1454385262.0
H: nan T: 1454385263.0
B: 27 T: 1454385263.0
H: nan T: 1454385264.0
B: 27 T: 1454385264.0
H: nan T: 1454385265.0
B: 27 T: 1454385265.0
H: nan T: 1454385266.0
B: 28 T: 1454385266.0
H: nan T: 1454385267.0
B: 28 T: 1454385267.0
H: nan T: 1454385268.0
B: 27 T: 1454385268.0
H: nan T: 1454385269.0
B: 27 T: 1454385269.0
H: nan T: 1454385270.0
B: 27 T: 1454385270.0
H: nan T: 1454385271.0
B: 27 T: 1454385271.0
H: nan T: 1454385272.0
B: 27 T: 1454385272.0
H: nan T: 1454385273.0
B: 27 T: 1454385273.0
H: nan T: 1454385274.0
B: 28 T: 1454385274.0
H: nan T: 1454385275.0
B: 27 T: 1454385275.0
H: nan T: 1454385276.0
B: 27 T: 1454385276.0
H: nan T: 1454385277.0
B: 27 T: 1454385277.0
H: nan T: 1454385278.0
B: 25 T: 1454385278.0
H: nan T: 1454385279.0
B: 25 T: 1454385279.0
H: nan T: 1454385280.0
B: 25 T: 1454385280.0
H: nan T: 1454385281.0
B: 25 T: 1454385281.0
H: nan T: 1454385282.0
B: 22 T: 1454385282.0
H: nan T: 1454385283.0
B: 20 T: 1454385283.0
H: nan T: 1454385284.0
B: 19 T: 1454385284.0
H: nan T: 1454385285.0
B: 19 T: 1454385285.0
H: nan T: 1454385286.0
B: 20 T: 1454385286.0
H: nan T: 1454385287.0
B: 19 T: 1454385287.0
H: nan T: 1454385288.0
B: 20 T: 1454385288.0
H: nan T: 1454385289.0
B: 20 T: 1454385289.0
H: nan T: 1454385290.0
B: 21 T: 1454385290.0
H: nan T: 1454385291.0
B: 21 T: 1454385291.0
H: nan T: 1454385292.0
B: 22 T: 1454385292.0
H: nan T: 1454385293.0
B: 23 T: 1454385293.0
H: nan T: 1454385294.0
B: 23 T: 1454385294.0
H: nan T: 1454385295.0
B: 24 T: 1454385295.0
H: nan T: 1454385296.0
B: 24 T: 1454385296.0
H: nan T: 1454385297.0
B: 25 T: 1454385297.0
H: nan T: 1454385298.0
B: 26 T: 1454385298.0
H: nan T: 1454385299.0
B: 26 T: 1454385299.0
H: nan T: 1454385300.0
B: 27 T: 1454385300.0
H: nan T: 1454385301.0
B: 26 T: 1454385301.0
H: nan T: 1454385302.0
B: 26 T: 1454385302.0
H: nan T: 1454385303.0
B: 27 T: 1454385303.0
H: nan T: 1454385304.0
B: 27 T: 1454385304.0
H: nan T: 1454385305.0
B: 27 T: 1454385305.0
H: nan T: 1454385306.0
B: 27 T: 1454385306.0
H: nan T: 1454385307.0
B: 27 T: 1454385307.0
H: nan T: 1454385308.0
B: 27 T: 1454385308.0
H: nan T: 1454385309.0
B: 27 T: 1454385309.0
H: nan T: 1454385310.0
B: 27 T: 1454385310.0
H: nan T: 1454385311.0
B: 27 T: 1454385311.0
H: nan T: 1454385312.0
B: 27 T: 1454385312.0
H: nan T: 1454385313.0
B: 27 T: 1454385313.0
H: nan T: 1454385314.0
B: 27 T: 1454385314.0
H: nan T: 1454385315.0
B: 27 T: 1454385315.0
H: nan T: 1454385316.0
B: 27 T: 1454385316.0
H: nan T: 1454385317.0
B: 28 T: 1454385317.0
H: nan T: 1454385318.0
B: 28 T: 1454385318.0
H: nan T: 1454385319.0
B: 28 T: 1454385319.0
H: nan T: 1454385320.0
B: 28 T: 1454385320.0
H: nan T: 1454385321.0
B: 29 T: 1454385321.0
H: nan T: 1454385322.0
B: 27 T: 1454385322.0
H: nan T: 1454385323.0
B: 27 T: 1454385323.0
H: nan T: 1454385324.0
B: 27 T: 1454385324.0
H: nan T: 1454385325.0
B: 27 T: 1454385325.0
H: nan T: 1454385326.0
B: 27 T: 1454385326.0
H: nan T: 1454385327.0
B: 28 T: 1454385327.0
H: nan T: 1454385328.0
B: 27 T: 1454385328.0
H: nan T: 1454385329.0
B: 27 T: 1454385329.0
H: nan T: 1454385330.0
B: 28 T: 1454385330.0
H: nan T: 1454385331.0
B: 28 T: 1454385331.0
H: nan T: 1454385332.0
B: 28 T: 1454385332.0
H: nan T: 1454385333.0
B: 28 T: 1454385333.0
H: nan T: 1454385334.0
B: 28 T: 1454385334.0
H: nan T: 1454385335.0
B: 28 T: 1454385335.0
H: nan T: 1454385336.0
B: 28 T: 1454385336.0
H: nan T: 1454385337.0
B: 28 T: 1454385337.0
H: nan T: 1454385338.0
B: 28 T: 1454385338.0
H: nan T: 1454385339.0
B: 26 T: 1454385339.0
H: nan T: 1454385340.0
B: 27 T: 1454385340.0
H: nan T: 1454385341.0
B: 27 T: 1454385341.0
H: nan T: 1454385342.0
B: 26 T: 1454385342.0
H: nan T: 1454385343.0
B: 26 T: 1454385343.0
H: nan T: 1454385344.0
B: 27 T: 1454385344.0
H: nan T: 1454385345.0
B: 27 T: 1454385345.0
H: nan T: 1454385346.0
B: 27 T: 1454385346.0
H: nan T: 1454385347.0
B: 27 T: 1454385347.0
H: nan T: 1454385348.0
B: 27 T: 1454385348.0
H: nan T: 1454385349.0
B: 27 T: 1454385349.0
H: nan T: 1454385350.0
B: 27 T: 1454385350.0
H: nan T: 1454385351.0
B: 27 T: 1454385351.0
H: nan T: 1454385352.0
B: 27 T: 1454385352.0
H: nan T: 1454385353.0
B: 28 T: 1454385353.0
H: nan T: 1454385354.0
B: 26 T: 1454385354.0
H: nan T: 1454385355.0
B: 27 T: 1454385355.0
H: nan T: 1454385356.0
B: 27 T: 1454385356.0
H: nan T: 1454385357.0
B: 27 T: 1454385357.0
H: nan T: 1454385358.0
B: 27 T: 1454385358.0
H: nan T: 1454385359.0
B: 27 T: 1454385359.0
H: nan T: 1454385360.0
B: 27 T: 1454385360.0
H: nan T: 1454385361.0
B: 28 T: 1454385361.0
H: nan T: 1454385362.0
B: 28 T: 1454385362.0
H: nan T: 1454385363.0
B: 29 T: 1454385363.0
H: nan T: 1454385364.0
B: 29 T: 1454385364.0
H: nan T: 1454385365.0
B: 29 T: 1454385365.0
H: nan T: 1454385366.0
B: 29 T: 1454385366.0
H: nan T: 1454385367.0
B: 29 T: 1454385367.0
H: nan T: 1454385368.0
B: 29 T: 1454385368.0
H: nan T: 1454385369.0
B: 30 T: 1454385369.0
H: nan T: 1454385370.0
B: 30 T: 1454385370.0
H: nan T: 1454385371.0
B: 30 T: 1454385371.0
H: nan T: 1454385372.0
B: 31 T: 1454385372.0
H: nan T: 1454385373.0
B: 31 T: 1454385373.0
H: nan T: 1454385374.0
B: 31 T: 1454385374.0
H: nan T: 1454385375.0
B: 31 T: 1454385375.0
H: nan T: 1454385376.0
B: 31 T: 1454385376.0
H: nan T: 1454385377.0
B: 31 T: 1454385377.0
H: nan T: 1454385378.0
B: 31 T: 1454385378.0
H: nan T: 1454385379.0
B: 31 T: 1454385379.0
H: nan T: 1454385380.0
B: 29 T: 1454385380.0
H: nan T: 1454385381.0
B: 29 T: 1454385381.0
H: nan T: 1454385382.0
B: 30 T: 1454385382.0
H: nan T: 1454385383.0
B: 29 T: 1454385383.0
H: nan T: 1454385384.0
B: 30 T: 1454385384.0
H: nan T: 1454385385.0
B: 30 T: 1454385385.0
H: nan T: 1454385386.0
B: 30 T: 1454385386.0
H: nan T: 1454385387.0
B: 30 T: 1454385387.0
H: nan T: 1454385388.0
B: 29 T: 1454385388.0
H: nan T: 1454385389.0
B: 29 T: 1454385389.0
H: nan T: 1454385390.0
B: 29 T: 1454385390.0
H: nan T: 1454385391.0
B: 29 T: 1454385391.0
H: nan T: 1454385392.0
B: 30 T: 1454385392.0
H: nan T: 1454385393.0
B: 30 T: 1454385393.0
H: nan T: 1454385394.0
B: 30 T: 1454385394.0
H: nan T: 1454385395.0
B: 30 T: 1454385395.0
H: nan T: 1454385396.0
B: 29 T: 1454385396.0
H: nan T: 1454385397.0
B: 29 T: 1454385397.0
H: nan T: 1454385398.0
B: 29 T: 1454385398.0
H: nan T: 1454385399.0
B: 29 T: 1454385399.0
H: nan T: 1454385400.0
B: 30 T: 1454385400.0
H: nan T: 1454385401.0
B: 30 T: 1454385401.0
H: nan T: 1454385402.0
B: 28 T: 1454385402.0
H: nan T: 1454385403.0
B: 27 T: 1454385403.0
H: nan T: 1454385404.0
B: 27 T: 1454385404.0
H: nan T: 1454385405.0
B: 28 T: 1454385405.0
H: nan T: 1454385406.0
B: 27 T: 1454385406.0
H: nan T: 1454385407.0
B: 28 T: 1454385407.0
H: nan T: 1454385408.0
B: 28 T: 1454385408.0
H: nan T: 1454385409.0
B: 28 T: 1454385409.0
H: nan T: 1454385410.0
B: 28 T: 1454385410.0
H: nan T: 1454385411.0
B: 29 T: 1454385411.0
H: nan T: 1454385412.0
B: 28 T: 1454385412.0
H: nan T: 1454385413.0
B: 27 T: 1454385413.0
H: nan T: 1454385414.0
B: 27 T: 1454385414.0
H: nan T: 1454385415.0
B: 27 T: 1454385415.0
H: nan T: 1454385416.0
B: 27 T: 1454385416.0
H: nan T: 1454385417.0
B: 28 T: 1454385417.0
H: nan T: 1454385418.0
B: 28 T: 1454385418.0
H: nan T: 1454385419.0
B: 28 T: 1454385419.0
H: nan T: 1454385420.0
B: 28 T: 1454385420.0
H: nan T: 1454385421.0
B: 28 T: 1454385421.0
H: nan T: 1454385422.0
B: 28 T: 1454385422.0
H: nan T: 1454385423.0
B: 27 T: 1454385423.0
H: nan T: 1454385424.0
B: 27 T: 1454385424.0
H: nan T: 1454385425.0
B: 27 T: 1454385425.0
H: nan T: 1454385426.0
B: 27 T: 1454385426.0
H: nan T: 1454385427.0
B: 27 T: 1454385427.0
H: nan T: 1454385428.0
B: 28 T: 1454385428.0
H: nan T: 1454385429.0
B: 26 T: 1454385429.0
H: nan T: 1454385430.0
B: 27 T: 1454385430.0
H: nan T: 1454385431.0
B: 27 T: 1454385431.0
H: nan T: 1454385432.0
B: 27 T: 1454385432.0
H: nan T: 1454385433.0
B: 27 T: 1454385433.0
H: nan T: 1454385434.0
B: 28 T: 1454385434.0
H: nan T: 1454385435.0
B: 28 T: 1454385435.0
H: nan T: 1454385436.0
B: 28 T: 1454385436.0
H: nan T: 1454385437.0
B: 28 T: 1454385437.0
H: nan T: 1454385438.0
B: 29 T: 1454385438.0
H: nan T: 1454385439.0
B: 29 T: 1454385439.0
H: nan T: 1454385440.0
B: 30 T: 1454385440.0
H: nan T: 1454385441.0
B: 28 T: 1454385441.0
H: nan T: 1454385442.0
B: 28 T: 1454385442.0
H: nan T: 1454385443.0
B: 28 T: 1454385443.0
H: nan T: 1454385444.0
B: 27 T: 1454385444.0
H: nan T: 1454385445.0
B: 27 T: 1454385445.0
H: nan T: 1454385446.0
B: 28 T: 1454385446.0
